,id,text,character,conversation_id,reply_to,clean_text,tokenize,tokenize_lemmatized,final_text,prediction
185,L593289,Part of the deal: Bruno cancels out what they did to my father.,SONNY,L593286,L593288,deal bruno cancels father,"['deal', 'bruno', 'cancels', 'father']","['deal', 'bruno', 'cancel', 'father']",deal bruno cancel father,fear
208,L593371,"If I accept that letter and you told a Court of Law I accepted it, they would interpret it as my having knowledge of his whereabouts. Just wait Kay, he'll contact you.",HAGEN,L593370,L593370,accept letter told court law accepted interpret knowledge whereabouts wait kay hell contact,"['accept', 'letter', 'told', 'court', 'law', 'accepted', 'interpret', 'knowledge', 'whereabouts', 'wait', 'kay', 'hell', 'contact']","['accept', 'letter', 'told', 'court', 'law', 'accepted', 'interpret', 'knowledge', 'whereabouts', 'wait', 'kay', 'hell', 'contact']",accept letter told court law accepted interpret knowledge whereabouts wait kay hell contact,fear
137,L592878,You want him to stay in this country.,DON CORLEONE,L592875,L592877,want stay country,"['want', 'stay', 'country']","['want', 'stay', 'country']",want stay country,fear
155,L593599,"The Don has semi-retired.  I'm running the Family business now. So anything you have to say, say it to me.",MICHAEL,L593598,L593598,semiretired im running family business,"['semiretired', 'im', 'running', 'family', 'business']","['semiretired', 'im', 'running', 'family', 'business']",semiretired im running family business,joy
225,L593649,"OK, but then I agree with Tessio. You're going about it all wrong; you're making the move out of weakness... Barzini's a wolf, and if he tears you apart, the other families won't come running to help the Corleones...",HAGEN,L593645,L593648,ok agree tessio youre going wrong youre making weakness barzinis wolf tears apart families wont come running help corleones,"['ok', 'agree', 'tessio', 'youre', 'going', 'wrong', 'youre', 'making', 'weakness', 'barzinis', 'wolf', 'tears', 'apart', 'families', 'wont', 'come', 'running', 'help', 'corleones']","['ok', 'agree', 'tessio', 'youre', 'going', 'wrong', 'youre', 'making', 'weakness', 'barzinis', 'wolf', 'tear', 'apart', 'family', 'wont', 'come', 'running', 'help', 'corleones']",ok agree tessio youre going wrong youre making weakness barzinis wolf tear apart family wont come running help corleones,fear
354,L593579,Thanks.,MICHAEL,L593578,L593578,thanks,['thanks'],['thanks'],thanks,fear
254,L593223,I can't...,MICHAEL,L593223,,cant,['cant'],['cant'],cant,sadness
175,L593299,McCluskey can't stay with the Turk forever.  We'll wait.,SONNY,L593298,L593298,mccluskey cant stay turk forever wait,"['mccluskey', 'cant', 'stay', 'turk', 'forever', 'wait']","['mccluskey', 'cant', 'stay', 'turk', 'forever', 'wait']",mccluskey cant stay turk forever wait,sadness
265,L593037,"As long as I tell him beforehand he won't object.  He'll be hurt, but he won't object.",MICHAEL,L593036,L593036,long tell wont object hell hurt wont object,"['long', 'tell', 'wont', 'object', 'hell', 'hurt', 'wont', 'object']","['long', 'tell', 'wont', 'object', 'hell', 'hurt', 'wont', 'object']",long tell wont object hell hurt wont object,anger
167,L593390,"You start operating, the five families will start their raids again.  We're at a stalemate Sonny, your war is costing us a lot of money.",HAGEN,L593389,L593389,start operating families start raids stalemate sonny war costing lot money,"['start', 'operating', 'families', 'start', 'raids', 'stalemate', 'sonny', 'war', 'costing', 'lot', 'money']","['start', 'operating', 'family', 'start', 'raid', 'stalemate', 'sonny', 'war', 'costing', 'lot', 'money']",start operating family start raid stalemate sonny war costing lot money,fear
193,L593171,"Oh Christ Tom, I didn't mean it that way.",SONNY,L593167,L593170,oh christ tom didnt mean way,"['oh', 'christ', 'tom', 'didnt', 'mean', 'way']","['oh', 'christ', 'tom', 'didnt', 'mean', 'way']",oh christ tom didnt mean way,anger
19,L593718,You have to answer for Santino.,MICHAEL,L593717,L593717,answer santino,"['answer', 'santino']","['answer', 'santino']",answer santino,anger
281,L592906,You really want to know?,MICHAEL,L592904,L592905,want know,"['want', 'know']","['want', 'know']",want know,anger
79,L593436,I didn't tell Mama anything.  I was about to come up and wake you and tell you.  Just now.,HAGEN,L593435,L593435,didnt tell mama come wake tell,"['didnt', 'tell', 'mama', 'come', 'wake', 'tell']","['didnt', 'tell', 'mama', 'come', 'wake', 'tell']",didnt tell mama come wake tell,fear
163,L593558,Why didn't Moe Green meet us at the airport?,MICHAEL,L593558,,didnt moe green meet airport,"['didnt', 'moe', 'green', 'meet', 'airport']","['didnt', 'moe', 'green', 'meet', 'airport']",didnt moe green meet airport,joy
18,L593719,You fingered Sonny for the Barzini people.  That little farce you played out with my sister.  Did Barzini kid you that would fool a Corleone?,MICHAEL,L593719,,fingered sonny barzini people little farce played sister barzini kid fool corleone,"['fingered', 'sonny', 'barzini', 'people', 'little', 'farce', 'played', 'sister', 'barzini', 'kid', 'fool', 'corleone']","['fingered', 'sonny', 'barzini', 'people', 'little', 'farce', 'played', 'sister', 'barzini', 'kid', 'fool', 'corleone']",fingered sonny barzini people little farce played sister barzini kid fool corleone,fear
301,L593285,The Turk wants to talk!  The nerve of that son of a bitch!  After he craps out last night he wants a meet.,SONNY,L593283,L593284,turk wants talk nerve son bitch craps night wants meet,"['turk', 'wants', 'talk', 'nerve', 'son', 'bitch', 'craps', 'night', 'wants', 'meet']","['turk', 'want', 'talk', 'nerve', 'son', 'bitch', 'crap', 'night', 'want', 'meet']",turk want talk nerve son bitch crap night want meet,anger
104,L593659,"He will get in touch with you through someone you absolutely trust.  That person will arrange a meeting, guarantee your safety...",DON CORLEONE,L593657,L593658,touch absolutely trust person arrange meeting guarantee safety,"['touch', 'absolutely', 'trust', 'person', 'arrange', 'meeting', 'guarantee', 'safety']","['touch', 'absolutely', 'trust', 'person', 'arrange', 'meeting', 'guarantee', 'safety']",touch absolutely trust person arrange meeting guarantee safety,fear
278,L592911,"Once upon a time, about fifteen years ago some people wanted to take over my father's olive oil business.  They had Al Capone send some men in from Chicago to kill my father, and they almost did.",MICHAEL,L592911,,time years ago people wanted fathers olive oil business al capone send men chicago kill father,"['time', 'years', 'ago', 'people', 'wanted', 'fathers', 'olive', 'oil', 'business', 'al', 'capone', 'send', 'men', 'chicago', 'kill', 'father']","['time', 'year', 'ago', 'people', 'wanted', 'father', 'olive', 'oil', 'business', 'al', 'capone', 'send', 'men', 'chicago', 'kill', 'father']",time year ago people wanted father olive oil business al capone send men chicago kill father,joy
118,L593547,"No, I wanted other things for you.",DON CORLEONE,L593541,L593546,wanted things,"['wanted', 'things']","['wanted', 'thing']",wanted thing,anger
31,L593184,Understood.,CLEMENZA,L593183,L593183,understood,['understood'],['understood'],understood,fear
36,L593096,"Maybe three, four times.  I always asked Freddie if he wanted another bodyguard, but he said no.  Things have been so smooth the last ten years...",CLEMENZA,L593090,L593095,maybe times asked freddie wanted bodyguard said things smooth years,"['maybe', 'times', 'asked', 'freddie', 'wanted', 'bodyguard', 'said', 'things', 'smooth', 'years']","['maybe', 'time', 'asked', 'freddie', 'wanted', 'bodyguard', 'said', 'thing', 'smooth', 'year']",maybe time asked freddie wanted bodyguard said thing smooth year,fear
153,L593479,Only the son of a Pezzonovanta.,MICHAEL,L593476,L593478,son pezzonovanta,"['son', 'pezzonovanta']","['son', 'pezzonovanta']",son pezzonovanta,joy
238,L592929,Thanks Tom.,MICHAEL,L592928,L592928,thanks tom,"['thanks', 'tom']","['thanks', 'tom']",thanks tom,fear
312,L593155,"Christ, if I could only contact Luca.",SONNY,L593148,L593154,christ contact luca,"['christ', 'contact', 'luca']","['christ', 'contact', 'luca']",christ contact luca,fear
334,L593348,Is it all right if I go to the bathroom?,MICHAEL,L593347,L593347,right bathroom,"['right', 'bathroom']","['right', 'bathroom']",right bathroom,fear
250,L593240,I don't think so either.  I better go.,MICHAEL,L593236,L593239,dont think better,"['dont', 'think', 'better']","['dont', 'think', 'better']",dont think better,anger
227,L593647,"Mike, why am I out?",HAGEN,L593645,L593646,mike,['mike'],['mike'],mike,fear
59,L593018,"So.  I receive 30 per cent just for finance and legal protection.  No worries about operations, is that what you tell me?",DON CORLEONE,L593017,L593017,receive cent finance legal protection worries operations tell,"['receive', 'cent', 'finance', 'legal', 'protection', 'worries', 'operations', 'tell']","['receive', 'cent', 'finance', 'legal', 'protection', 'worry', 'operation', 'tell']",receive cent finance legal protection worry operation tell,fear
111,L593643,I told you that it wouldn't escape his eye.,DON CORLEONE,L593643,,told wouldnt escape eye,"['told', 'wouldnt', 'escape', 'eye']","['told', 'wouldnt', 'escape', 'eye']",told wouldnt escape eye,fear
343,L593630,No.  I want things very calm for another six months.,MICHAEL,L593629,L593629,want things calm months,"['want', 'things', 'calm', 'months']","['want', 'thing', 'calm', 'month']",want thing calm month,fear
6,L592864,"Some day, and that day may never come, I would like to call upon you to do me a service in return.",DON CORLEONE,L592861,L592863,day day come like service return,"['day', 'day', 'come', 'like', 'service', 'return']","['day', 'day', 'come', 'like', 'service', 'return']",day day come like service return,joy
261,L593062,No.,MICHAEL,L593061,L593061,,[],[],,fear
336,L593338,We're going to New Jersey?,MICHAEL,L593338,,going new jersey,"['going', 'new', 'jersey']","['going', 'new', 'jersey']",going new jersey,anger
10,L592856,But your daughter is still alive.,DON CORLEONE,L592852,L592855,daughter alive,"['daughter', 'alive']","['daughter', 'alive']",daughter alive,fear
165,L593392,"Yes.  That's true, you're getting a hell of a reputation.",HAGEN,L593389,L593391,yes thats true youre getting hell reputation,"['yes', 'thats', 'true', 'youre', 'getting', 'hell', 'reputation']","['yes', 'thats', 'true', 'youre', 'getting', 'hell', 'reputation']",yes thats true youre getting hell reputation,anger
103,L593661,Your wife and children...you're happy with them?,DON CORLEONE,L593661,,wife childrenyoure happy,"['wife', 'childrenyoure', 'happy']","['wife', 'childrenyoure', 'happy']",wife childrenyoure happy,joy
81,L593030,It's from Johnny.  It was announced this morning.  He's going to play the lead in the new Woltz Brothers film.,HAGEN,L593029,L593029,johnny announced morning hes going play lead new woltz brothers film,"['johnny', 'announced', 'morning', 'hes', 'going', 'play', 'lead', 'new', 'woltz', 'brothers', 'film']","['johnny', 'announced', 'morning', 'he', 'going', 'play', 'lead', 'new', 'woltz', 'brother', 'film']",johnny announced morning he going play lead new woltz brother film,joy
177,L593297,"No no, no more advice on how to patch it up Tom.  You just help me win.  Understood?",SONNY,L593286,L593296,advice patch tom help win understood,"['advice', 'patch', 'tom', 'help', 'win', 'understood']","['advice', 'patch', 'tom', 'help', 'win', 'understood']",advice patch tom help win understood,joy
239,L592928,"Hello Kay.  Your father's inside, doing some business.  He's been asking for you.",HAGEN,L592928,,hello kay fathers inside business hes asking,"['hello', 'kay', 'fathers', 'inside', 'business', 'hes', 'asking']","['hello', 'kay', 'father', 'inside', 'business', 'he', 'asking']",hello kay father inside business he asking,anger
182,L593292,The other families won't sit still for all out war.,HAGEN,L593286,L593291,families wont sit war,"['families', 'wont', 'sit', 'war']","['family', 'wont', 'sit', 'war']",family wont sit war,fear
183,L593291,"No, no Consiglere.  Not this time. No more meetings, no more discussions, no more Sollozzo tricks.  Give them one message: I WANT SOLLOZZO.  If not, it's all out war.  We go to the mattresses and we put all the button men out on the street.",SONNY,L593286,L593290,consiglere time meetings discussions sollozzo tricks message want sollozzo war mattresses button men street,"['consiglere', 'time', 'meetings', 'discussions', 'sollozzo', 'tricks', 'message', 'want', 'sollozzo', 'war', 'mattresses', 'button', 'men', 'street']","['consiglere', 'time', 'meeting', 'discussion', 'sollozzo', 'trick', 'message', 'want', 'sollozzo', 'war', 'mattress', 'button', 'men', 'street']",consiglere time meeting discussion sollozzo trick message want sollozzo war mattress button men street,fear
242,L593614,"Let me think about it, O.K.?",MICHAEL,L593613,L593613,let think ok,"['let', 'think', 'ok']","['let', 'think', 'ok']",let think ok,fear
195,L593169,That's easy to say; it's not your father.,SONNY,L593167,L593168,thats easy father,"['thats', 'easy', 'father']","['thats', 'easy', 'father']",thats easy father,fear
92,L592943,This morning.,HAGEN,L592939,L592942,morning,['morning'],['morning'],morning,fear
69,L593650,"Tom, I never thought you were a bad Consigliere, I thought Santino a bad Don, rest in peace.  He had a good heart but he wasn't the right man to head the family when I had my misfortune.  Michael has all my confidence, as you do.  For reasons which you can't know, you must have no part in what will happen.",DON CORLEONE,L593650,,tom thought bad consigliere thought santino bad rest peace good heart wasnt right man head family misfortune michael confidence reasons cant know happen,"['tom', 'thought', 'bad', 'consigliere', 'thought', 'santino', 'bad', 'rest', 'peace', 'good', 'heart', 'wasnt', 'right', 'man', 'head', 'family', 'misfortune', 'michael', 'confidence', 'reasons', 'cant', 'know', 'happen']","['tom', 'thought', 'bad', 'consigliere', 'thought', 'santino', 'bad', 'rest', 'peace', 'good', 'heart', 'wasnt', 'right', 'man', 'head', 'family', 'misfortune', 'michael', 'confidence', 'reason', 'cant', 'know', 'happen']",tom thought bad consigliere thought santino bad rest peace good heart wasnt right man head family misfortune michael confidence reason cant know happen,joy
240,L593746,"All right, this one time I'll let you ask about my affairs, one last time.",MICHAEL,L593743,L593745,right time ill let ask affairs time,"['right', 'time', 'ill', 'let', 'ask', 'affairs', 'time']","['right', 'time', 'ill', 'let', 'ask', 'affair', 'time']",right time ill let ask affair time,sadness
96,L592939,"He's his own boss, and very competent.",HAGEN,L592939,,hes boss competent,"['hes', 'boss', 'competent']","['he', 'bos', 'competent']",he bos competent,joy
143,L593472,Don Tommassino...I should see this place.,MICHAEL,L593462,L593471,tommassinoi place,"['tommassinoi', 'place']","['tommassinoi', 'place']",tommassinoi place,joy
274,L592919,Then Luca turned to the other man...,MICHAEL,L592911,L592918,luca turned man,"['luca', 'turned', 'man']","['luca', 'turned', 'man']",luca turned man,fear
97,L592937,"The Senator called--apologized for not coming personally, but said you'd understand.  Also, some of the Judges...they've all sent gifts. And another call from Virgil Sollozzo.",HAGEN,L592936,L592936,senator calledapologized coming personally said youd understand judgestheyve sent gifts virgil sollozzo,"['senator', 'calledapologized', 'coming', 'personally', 'said', 'youd', 'understand', 'judgestheyve', 'sent', 'gifts', 'virgil', 'sollozzo']","['senator', 'calledapologized', 'coming', 'personally', 'said', 'youd', 'understand', 'judgestheyve', 'sent', 'gift', 'virgil', 'sollozzo']",senator calledapologized coming personally said youd understand judgestheyve sent gift virgil sollozzo,fear
196,L593168,"Without your father's political contacts and personal influence, the Corleone family loses half its strength.  Without your father, the other New York families might wind up supporting Sollozzo, and the Tattaglias just to make sure there isn't a long destructive war.  The old days are over, this is 1946; nobody wants bloodshed anymore.  If your father dies...make the deal, Sonny.",HAGEN,L593167,L593167,fathers political contacts personal influence corleone family loses half strength father new york families wind supporting sollozzo tattaglias sure isnt long destructive war old days wants bloodshed anymore father diesmake deal sonny,"['fathers', 'political', 'contacts', 'personal', 'influence', 'corleone', 'family', 'loses', 'half', 'strength', 'father', 'new', 'york', 'families', 'wind', 'supporting', 'sollozzo', 'tattaglias', 'sure', 'isnt', 'long', 'destructive', 'war', 'old', 'days', 'wants', 'bloodshed', 'anymore', 'father', 'diesmake', 'deal', 'sonny']","['father', 'political', 'contact', 'personal', 'influence', 'corleone', 'family', 'loses', 'half', 'strength', 'father', 'new', 'york', 'family', 'wind', 'supporting', 'sollozzo', 'tattaglias', 'sure', 'isnt', 'long', 'destructive', 'war', 'old', 'day', 'want', 'bloodshed', 'anymore', 'father', 'diesmake', 'deal', 'sonny']",father political contact personal influence corleone family loses half strength father new york family wind supporting sollozzo tattaglias sure isnt long destructive war old day want bloodshed anymore father diesmake deal sonny,sadness
68,L593651,Maybe I can help.,HAGEN,L593650,L593650,maybe help,"['maybe', 'help']","['maybe', 'help']",maybe help,anger
23,L593326,"You're on, kid...I'll square it with Mom your not seeing her before you left.  And I'll get a message to your girl friend when I think the time is right.",SONNY,L593324,L593325,youre kidill square mom seeing left ill message girl friend think time right,"['youre', 'kidill', 'square', 'mom', 'seeing', 'left', 'ill', 'message', 'girl', 'friend', 'think', 'time', 'right']","['youre', 'kidill', 'square', 'mom', 'seeing', 'left', 'ill', 'message', 'girl', 'friend', 'think', 'time', 'right']",youre kidill square mom seeing left ill message girl friend think time right,joy
37,L593095,How many times did he stay home the last couple of months?,SONNY,L593090,L593094,times stay home couple months,"['times', 'stay', 'home', 'couple', 'months']","['time', 'stay', 'home', 'couple', 'month']",time stay home couple month,fear
144,L593470,I was told that my Grandfather was murdered on its main street; and his murderers came to kill my father there when he was twelve years old.,MICHAEL,L593462,L593469,told grandfather murdered main street murderers came kill father years old,"['told', 'grandfather', 'murdered', 'main', 'street', 'murderers', 'came', 'kill', 'father', 'years', 'old']","['told', 'grandfather', 'murdered', 'main', 'street', 'murderer', 'came', 'kill', 'father', 'year', 'old']",told grandfather murdered main street murderer came kill father year old,anger
122,L593543,"I understand, Michael.  But you must make a family, you know.",DON CORLEONE,L593541,L593542,understand michael family know,"['understand', 'michael', 'family', 'know']","['understand', 'michael', 'family', 'know']",understand michael family know,fear
67,L592956,"Can I do something for you still? You're not too rich, or too famous that I can't help you?",DON CORLEONE,L592955,L592955,youre rich famous cant help,"['youre', 'rich', 'famous', 'cant', 'help']","['youre', 'rich', 'famous', 'cant', 'help']",youre rich famous cant help,joy
337,L593334,I want to settle things tonight.  I want my father left alone.,MICHAEL,L593333,L593333,want settle things tonight want father left,"['want', 'settle', 'things', 'tonight', 'want', 'father', 'left']","['want', 'settle', 'thing', 'tonight', 'want', 'father', 'left']",want settle thing tonight want father left,sadness
340,L593694,I do renounce him.,MICHAEL,L593693,L593693,renounce,['renounce'],['renounce'],renounce,fear
287,L593258,You've read about my father in the papers.  You've seen that no one's here to guard him.  Now I've just gotten word that men are coming to this hospital to kill him.  Believe me and help me.,MICHAEL,L593255,L593257,youve read father papers youve seen ones guard ive gotten word men coming hospital kill believe help,"['youve', 'read', 'father', 'papers', 'youve', 'seen', 'ones', 'guard', 'ive', 'gotten', 'word', 'men', 'coming', 'hospital', 'kill', 'believe', 'help']","['youve', 'read', 'father', 'paper', 'youve', 'seen', 'one', 'guard', 'ive', 'gotten', 'word', 'men', 'coming', 'hospital', 'kill', 'believe', 'help']",youve read father paper youve seen one guard ive gotten word men coming hospital kill believe help,joy
168,L593389,We'll let the old man take it easy for a couple of weeks.  I want to get things going good before he gets better.  What's the matter with you?,SONNY,L593389,,let old man easy couple weeks want things going good gets better whats matter,"['let', 'old', 'man', 'easy', 'couple', 'weeks', 'want', 'things', 'going', 'good', 'gets', 'better', 'whats', 'matter']","['let', 'old', 'man', 'easy', 'couple', 'week', 'want', 'thing', 'going', 'good', 'get', 'better', 'whats', 'matter']",let old man easy couple week want thing going good get better whats matter,joy
125,L592991,"Good.  When you are finished, come and talk to me.  I have hopes for you.",DON CORLEONE,L592983,L592990,good finished come talk hopes,"['good', 'finished', 'come', 'talk', 'hopes']","['good', 'finished', 'come', 'talk', 'hope']",good finished come talk hope,joy
146,L593466,I know.,MICHAEL,L593462,L593465,know,['know'],['know'],know,anger
296,L593313,Why don't you stop living like a bum and get this place cleaned up.,MICHAEL,L593313,,dont stop living like bum place cleaned,"['dont', 'stop', 'living', 'like', 'bum', 'place', 'cleaned']","['dont', 'stop', 'living', 'like', 'bum', 'place', 'cleaned']",dont stop living like bum place cleaned,anger
86,L592973,When does my daughter leave with her bridegroom?,DON CORLEONE,L592973,,daughter leave bridegroom,"['daughter', 'leave', 'bridegroom']","['daughter', 'leave', 'bridegroom']",daughter leave bridegroom,fear
303,L593283,"Mikey, you look beautiful!",SONNY,L593283,,mikey look beautiful,"['mikey', 'look', 'beautiful']","['mikey', 'look', 'beautiful']",mikey look beautiful,joy
176,L593298,"I found out about this Captain McCluskey who broke Mike's jaw. He's definitely on Sollozzo's payroll, and for big money. McCluskey's agreed to be the Turk's bodyguard.  What you have to understand is that while Sollozzo is guarded like this, he's invulnerable.  Nobody has ever gunned down a New York Police Captain.  Never.  It would be disastrous.  All the five families would come after you Sonny; the Corleone family would be outcasts; even the old man's political protection would run for cover.  So just...take that into consideration.",HAGEN,L593298,,found captain mccluskey broke mikes jaw hes definitely sollozzos payroll big money mccluskeys agreed turks bodyguard understand sollozzo guarded like hes invulnerable gunned new york police captain disastrous families come sonny corleone family outcasts old mans political protection run cover justtake consideration,"['found', 'captain', 'mccluskey', 'broke', 'mikes', 'jaw', 'hes', 'definitely', 'sollozzos', 'payroll', 'big', 'money', 'mccluskeys', 'agreed', 'turks', 'bodyguard', 'understand', 'sollozzo', 'guarded', 'like', 'hes', 'invulnerable', 'gunned', 'new', 'york', 'police', 'captain', 'disastrous', 'families', 'come', 'sonny', 'corleone', 'family', 'outcasts', 'old', 'mans', 'political', 'protection', 'run', 'cover', 'justtake', 'consideration']","['found', 'captain', 'mccluskey', 'broke', 'mike', 'jaw', 'he', 'definitely', 'sollozzos', 'payroll', 'big', 'money', 'mccluskeys', 'agreed', 'turk', 'bodyguard', 'understand', 'sollozzo', 'guarded', 'like', 'he', 'invulnerable', 'gunned', 'new', 'york', 'police', 'captain', 'disastrous', 'family', 'come', 'sonny', 'corleone', 'family', 'outcast', 'old', 'man', 'political', 'protection', 'run', 'cover', 'justtake', 'consideration']",found captain mccluskey broke mike jaw he definitely sollozzos payroll big money mccluskeys agreed turk bodyguard understand sollozzo guarded like he invulnerable gunned new york police captain disastrous family come sonny corleone family outcast old man political protection run cover justtake consideration,joy
304,L593254,I won't panic.,MICHAEL,L593252,L593253,wont panic,"['wont', 'panic']","['wont', 'panic']",wont panic,fear
172,L593330,"Jesus, I don't know...",HAGEN,L593330,,jesus dont know,"['jesus', 'dont', 'know']","['jesus', 'dont', 'know']",jesus dont know,sadness
316,L593151,"Sollozzo is a dead man, I don't care what it costs.  I don't care if we have to fight all the five families in New York.  The Tattaglia family's going to eat dirt.  I don't care if we all go down together.",SONNY,L593148,L593150,sollozzo dead man dont care costs dont care fight families new york tattaglia familys going eat dirt dont care,"['sollozzo', 'dead', 'man', 'dont', 'care', 'costs', 'dont', 'care', 'fight', 'families', 'new', 'york', 'tattaglia', 'familys', 'going', 'eat', 'dirt', 'dont', 'care']","['sollozzo', 'dead', 'man', 'dont', 'care', 'cost', 'dont', 'care', 'fight', 'family', 'new', 'york', 'tattaglia', 'family', 'going', 'eat', 'dirt', 'dont', 'care']",sollozzo dead man dont care cost dont care fight family new york tattaglia family going eat dirt dont care,joy
255,L593221,Huh?,MICHAEL,L593218,L593220,huh,['huh'],['huh'],huh,anger
256,L593219,"Yeah Kay, I'm here.",MICHAEL,L593218,L593218,yeah kay im,"['yeah', 'kay', 'im']","['yeah', 'kay', 'im']",yeah kay im,anger
181,L593293,Then THEY hand me Sollozzo.,SONNY,L593286,L593292,hand sollozzo,"['hand', 'sollozzo']","['hand', 'sollozzo']",hand sollozzo,fear
253,L593225,"Look.  I'll see you tonight, OK?",MICHAEL,L593223,L593224,look ill tonight ok,"['look', 'ill', 'tonight', 'ok']","['look', 'ill', 'tonight', 'ok']",look ill tonight ok,fear
129,L592987,What miracles you do for strangers.,DON CORLEONE,L592983,L592986,miracles strangers,"['miracles', 'strangers']","['miracle', 'stranger']",miracle stranger,fear
38,L593094,Paulie's been a little sick all winter...he was home.,CLEMENZA,L593090,L593093,paulies little sick winterhe home,"['paulies', 'little', 'sick', 'winterhe', 'home']","['paulies', 'little', 'sick', 'winterhe', 'home']",paulies little sick winterhe home,joy
11,L592854,The Court gave you justice.,DON CORLEONE,L592852,L592853,court gave justice,"['court', 'gave', 'justice']","['court', 'gave', 'justice']",court gave justice,fear
234,L593302,What about McCluskey?,HAGEN,L593302,,mccluskey,['mccluskey'],['mccluskey'],mccluskey,fear
339,L593696,I do renounce them.,MICHAEL,L593693,L593695,renounce,['renounce'],['renounce'],renounce,fear
112,L593553,What else do you believe in?,DON CORLEONE,L593541,L593552,believe,['believe'],['believe'],believe,anger
179,L593295,And when they shot me father...,SONNY,L593286,L593294,shot father,"['shot', 'father']","['shot', 'father']",shot father,fear
233,L593303,Let's say now that we have to kill McCluskey.  We'll clear that up through our Newspaper contacts later.,MICHAEL,L593302,L593302,lets kill mccluskey clear newspaper contacts later,"['lets', 'kill', 'mccluskey', 'clear', 'newspaper', 'contacts', 'later']","['let', 'kill', 'mccluskey', 'clear', 'newspaper', 'contact', 'later']",let kill mccluskey clear newspaper contact later,anger
223,L593679,Did he give you his politicians?,HAGEN,L593678,L593678,politicians,['politicians'],['politician'],politician,joy
117,L593548,You wanted me to be your son.,MICHAEL,L593541,L593547,wanted son,"['wanted', 'son']","['wanted', 'son']",wanted son,joy
331,L593136,Good.  She's been through it before. Me too.  You were too young to know about it.  You better wait outside; there're some things you shouldn't hear.,SONNY,L593134,L593135,good shes young know better wait outside therere things shouldnt hear,"['good', 'shes', 'young', 'know', 'better', 'wait', 'outside', 'therere', 'things', 'shouldnt', 'hear']","['good', 'shes', 'young', 'know', 'better', 'wait', 'outside', 'therere', 'thing', 'shouldnt', 'hear']",good shes young know better wait outside therere thing shouldnt hear,joy
345,L593616,Just be patient.,MICHAEL,L593615,L593615,patient,['patient'],['patient'],patient,fear
271,L592925,"Tom...Tom, I'd like you to meet Kay Adams.",MICHAEL,L592925,,tomtom id like meet kay adams,"['tomtom', 'id', 'like', 'meet', 'kay', 'adams']","['tomtom', 'id', 'like', 'meet', 'kay', 'adam']",tomtom id like meet kay adam,fear
325,L593142,What?,MICHAEL,L593141,L593141,,[],[],,fear
164,L593393,"Well it's war!  We might not be in this shape if we had a real war- time Consiglere, a Sicilian.  Pop had Genco, who do I have?  Hey Tom, hey...hey.  It's Sunday, we're gonna have dinner.  Don't be sore.",SONNY,L593389,L593392,war shape real war time consiglere sicilian pop genco hey tom heyhey sunday gonna dinner dont sore,"['war', 'shape', 'real', 'war', 'time', 'consiglere', 'sicilian', 'pop', 'genco', 'hey', 'tom', 'heyhey', 'sunday', 'gonna', 'dinner', 'dont', 'sore']","['war', 'shape', 'real', 'war', 'time', 'consiglere', 'sicilian', 'pop', 'genco', 'hey', 'tom', 'heyhey', 'sunday', 'gonna', 'dinner', 'dont', 'sore']",war shape real war time consiglere sicilian pop genco hey tom heyhey sunday gonna dinner dont sore,fear
262,L593044,"Shhh, you be the long distance operator.  Here.",MICHAEL,L593043,L593043,shhh long distance operator,"['shhh', 'long', 'distance', 'operator']","['shhh', 'long', 'distance', 'operator']",shhh long distance operator,fear
245,L593605,"No, you eat...don't wait up for me.",MICHAEL,L593601,L593604,eatdont wait,"['eatdont', 'wait']","['eatdont', 'wait']",eatdont wait,joy
154,L593477,How do you know I come from America?,MICHAEL,L593476,L593476,know come america,"['know', 'come', 'america']","['know', 'come', 'america']",know come america,anger
247,L593601,I have to see my father and his people when we get back to the Mall.,MICHAEL,L593601,,father people mall,"['father', 'people', 'mall']","['father', 'people', 'mall']",father people mall,anger
2,L593425,Yes.,HAGEN,L593422,L593424,yes,['yes'],['yes'],yes,fear
115,L593550,Then why have I become a man like you?,MICHAEL,L593541,L593549,man like,"['man', 'like']","['man', 'like']",man like,joy
266,L593033,And what do you want for Christmas?,MICHAEL,L593032,L593032,want christmas,"['want', 'christmas']","['want', 'christmas']",want christmas,anger
202,L593161,What about Luca?  Sollozzo didn't seem worried about Luca.  That worries me.,HAGEN,L593161,,luca sollozzo didnt worried luca worries,"['luca', 'sollozzo', 'didnt', 'worried', 'luca', 'worries']","['luca', 'sollozzo', 'didnt', 'worried', 'luca', 'worry']",luca sollozzo didnt worried luca worry,fear
249,L593242,I want you to go back to New Hampshire...think things over.,MICHAEL,L593236,L593241,want new hampshirethink things,"['want', 'new', 'hampshirethink', 'things']","['want', 'new', 'hampshirethink', 'thing']",want new hampshirethink thing,joy
120,L593545,"Accept what's happened, Michael.",DON CORLEONE,L593541,L593544,accept whats happened michael,"['accept', 'whats', 'happened', 'michael']","['accept', 'whats', 'happened', 'michael']",accept whats happened michael,fear
