id,text,character,conversation_id,reply_to
L593156,Is it like they say?  Is he that good?,MICHAEL,L593148,L593155
L593155,"Christ, if I could only contact Luca.",SONNY,L593148,L593154
L593154,"All right, Sonny.  All right.",MICHAEL,L593148,L593153
L593153,"I know I'm not the man he was.  But I'll tell you this and he'll tell you too.  When it comes to real action, I can operate as good as anybody short range.",SONNY,L593148,L593152
L593152,That's not how Pop would have played it.,MICHAEL,L593148,L593151
L593151,"Sollozzo is a dead man, I don't care what it costs.  I don't care if we have to fight all the five families in New York.  The Tattaglia family's going to eat dirt.  I don't care if we all go down together.",SONNY,L593148,L593150
L593150,"Then wait, Sonny.  Talk to Pop.",MICHAEL,L593148,L593149
L593149,Until the old man tells me different.,SONNY,L593148,L593148
L593148,"Is it going to be all-out war, like last time?",MICHAEL,L593148,
L593147,"On the three days Paulie was sick this month, he got calls from a payphone across from the old man's building.  We got people in the phone company.  Thank God it was Paulie...we'll need Clemenza bad.",SONNY,L593144,L593146
L593146,How can you be sure?,MICHAEL,L593144,L593145
L593145,"You're right, kid, Clemenza is okay. It was Paulie.",SONNY,L593144,L593144
L593144,"Clemenza?  No, I don't believe it.",MICHAEL,L593144,
L593143,One of them fingered the old man.,SONNY,L593141,L593142
L593142,What?,MICHAEL,L593141,L593141
L593141,"All right, Mikey...who do we have to hit, Clemenza or Paulie?",SONNY,L593141,
L593140,Theresa.,SONNY,L593134,L593139
L593139,"Jesus Christ, he's my father, Sonny.",MICHAEL,L593134,L593138
L593138,"Oh no you can't, the old man'd be sore as hell if I let you get mixed up in this.",SONNY,L593134,L593137
L593137,I can help you out...,MICHAEL,L593134,L593136
L593136,Good.  She's been through it before. Me too.  You were too young to know about it.  You better wait outside; there're some things you shouldn't hear.,SONNY,L593134,L593135
L593135,How's Mom?,MICHAEL,L593134,L593134
L593134,I was worried when we couldn't get in touch with you in that hick town.,SONNY,L593134,
L593348,Is it all right if I go to the bathroom?,MICHAEL,L593347,L593347
L593345,Most important...I want a sure guarantee that no more attempts will be made on my father's life.,MICHAEL,L593345,
L593338,We're going to New Jersey?,MICHAEL,L593338,
L593334,I want to settle things tonight.  I want my father left alone.,MICHAEL,L593333,L593333
L593698,I do wish to be baptized.,MICHAEL,L593697,L593697
L593696,I do renounce them.,MICHAEL,L593693,L593695
L593694,I do renounce him.,MICHAEL,L593693,L593693
L593687,"Yes, I promise.",MICHAEL,L593686,L593686
L593676,He talked to you?,MICHAEL,L593675,L593675
L593630,No.  I want things very calm for another six months.,MICHAEL,L593629,L593629
L593618,Be patient.,MICHAEL,L593615,L593617
L593616,Just be patient.,MICHAEL,L593615,L593615
L593596,I have to go back to New York tomorrow.  Think of your price.,MICHAEL,L593596,
L593594,You straightened my brother out?,MICHAEL,L593594,
L593591,Is that why you thought you could slap Freddie around in public?,MICHAEL,L593584,L593590
L593589,You took Freddie in because the Corleone family bankrolled your casino.  You and the Corleone family are evened out.  This is for business; name your price.,MICHAEL,L593584,L593588
L593587,You're unlucky.,MICHAEL,L593584,L593586
L593585,Your casino loses money.  Maybe we can do better.,MICHAEL,L593584,L593584
L593583,"The hotel, the casino.  The Corleone family wants to buy you out.",MICHAEL,L593582,L593582
L593581,Is my credit good enough to buy you out?,MICHAEL,L593578,L593580
L593579,Thanks.,MICHAEL,L593578,L593578
L593083,Find out anything you can...you got a Grand coming.,SONNY,L593077,L593082
L593081,Is he alive?,SONNY,L593077,L593080
L593079,I think so.  Detective squad?,SONNY,L593077,L593078
L593077,Yeah.,SONNY,L593077,
